year,month,DMI index
1950,1,-0.13
1950,2,-0.39
1950,3,-0.44
1950,4,-0.25
1950,5,-0.16
1950,6,-0.39
1950,7,-0.17
1950,8,-0.11
1950,9,-0.12
1950,10,-0.13
1950,11,-0.17
1950,12,0.07
1951,1,-0.01
1951,2,0.38
1951,3,0.31
1951,4,-0.32
1951,5,-0.02
1951,6,-0.17
1951,7,-0.05
1951,8,0.0
1951,9,0.46
1951,10,0.23
1951,11,0.25
1951,12,0.24
1952,1,0.28
1952,2,0.43
1952,3,0.2
1952,4,0.39
1952,5,0.05
1952,6,-0.04
1952,7,-0.07
1952,8,-0.13
1952,9,-0.09
1952,10,-0.34
1952,11,-0.06
1952,12,0.12
1953,1,0.2
1953,2,0.15
1953,3,0.23
1953,4,-0.01
1953,5,0.41
1953,6,0.15
1953,7,0.05
1953,8,0.05
1953,9,0.27
1953,10,0.14
1953,11,0.11
1953,12,0.1
1954,1,-0.4
1954,2,-0.17
1954,3,-0.33
1954,4,0.28
1954,5,0.0
1954,6,-0.25
1954,7,-0.35
1954,8,-0.24
1954,9,-0.4
1954,10,-0.54
1954,11,-0.15
1954,12,-0.06
1955,1,-0.24
1955,2,-0.23
1955,3,-0.19
1955,4,-0.03
1955,5,-0.64
1955,6,-0.53
1955,7,-0.31
1955,8,-0.07
1955,9,-0.53
1955,10,-0.61
1955,11,-0.26
1955,12,-0.1
1956,1,0.07
1956,2,0.08
1956,3,-0.29
1956,4,-0.29
1956,5,-0.65
1956,6,-0.49
1956,7,-0.55
1956,8,-0.16
1956,9,-0.17
1956,10,-0.28
1956,11,-0.26
1956,12,-0.04
1957,1,-0.2
1957,2,-0.22
1957,3,-0.16
1957,4,-0.16
1957,5,-0.03
1957,6,-0.29
1957,7,-0.38
1957,8,-0.21
1957,9,0.07
1957,10,0.21
1957,11,-0.4
1957,12,-0.21
1958,1,-0.02
1958,2,-0.09
1958,3,-0.21
1958,4,-0.14
1958,5,-0.15
1958,6,-0.32
1958,7,-0.5
1958,8,-0.53
1958,9,-0.54
1958,10,-0.19
1958,11,0.01
1958,12,0.07
1959,1,0.46
1959,2,0.01
1959,3,-0.17
1959,4,0.06
1959,5,-0.31
1959,6,-0.29
1959,7,-0.02
1959,8,0.04
1959,9,0.13
1959,10,-0.09
1959,11,-0.21
1959,12,-0.31
1960,1,-0.24
1960,2,0.04
1960,3,-0.15
1960,4,-0.42
1960,5,-0.55
1960,6,-0.12
1960,7,-0.09
1960,8,-0.39
1960,9,-0.29
1960,10,-0.41
1960,11,-0.54
1960,12,-0.48
1961,1,-0.25
1961,2,-0.11
1961,3,0.1
1961,4,-0.05
1961,5,-0.14
1961,6,0.34
1961,7,0.95
1961,8,1.07
1961,9,1.13
1961,10,1.32
1961,11,0.68
1961,12,0.36
1962,1,0.44
1962,2,0.48
1962,3,0.19
1962,4,0.23
1962,5,0.03
1962,6,-0.06
1962,7,-0.06
1962,8,0.02
1962,9,0.09
1962,10,0.03
1962,11,0.07
1962,12,0.09
1963,1,0.22
1963,2,0.19
1963,3,0.13
1963,4,0.09
1963,5,-0.2
1963,6,0.18
1963,7,0.54
1963,8,0.66
1963,9,0.48
1963,10,1.0
1963,11,0.6
1963,12,0.17
1964,1,-0.28
1964,2,-0.68
1964,3,-0.1
1964,4,-0.01
1964,5,-0.07
1964,6,0.09
1964,7,-0.3
1964,8,-0.36
1964,9,-0.65
1964,10,-0.55
1964,11,0.02
1964,12,0.1
1965,1,0.1
1965,2,-0.14
1965,3,0.23
1965,4,0.02
1965,5,0.11
1965,6,-0.01
1965,7,-0.06
1965,8,0.14
1965,9,0.05
1965,10,0.3
1965,11,0.07
1965,12,-0.19
1966,1,-0.04
1966,2,-0.1
1966,3,-0.23
1966,4,-0.11
1966,5,-0.04
1966,6,0.45
1966,7,0.38
1966,8,0.42
1966,9,0.27
1966,10,-0.2
1966,11,-0.29
1966,12,-0.06
1967,1,-0.38
1967,2,-0.21
1967,3,0.23
1967,4,0.03
1967,5,0.51
1967,6,0.58
1967,7,0.68
1967,8,0.48
1967,9,0.79
1967,10,0.81
1967,11,0.49
1967,12,0.29
1968,1,0.28
1968,2,0.42
1968,3,-0.07
1968,4,0.11
1968,5,0.42
1968,6,0.44
1968,7,0.14
1968,8,-0.13
1968,9,-0.37
1968,10,0.01
1968,11,-0.09
1968,12,0.01
1969,1,-0.24
1969,2,-0.36
1969,3,-0.14
1969,4,0.19
1969,5,0.27
1969,6,-0.1
1969,7,-0.2
1969,8,-0.44
1969,9,-0.05
1969,10,0.36
1969,11,0.36
1969,12,0.22
1970,1,0.32
1970,2,0.24
1970,3,0.07
1970,4,0.37
1970,5,0.51
1970,6,-0.06
1970,7,0.03
1970,8,-0.13
1970,9,-0.26
1970,10,-0.35
1970,11,-0.05
1970,12,0.03
1971,1,0.01
1971,2,-0.03
1971,3,0.26
1971,4,0.33
1971,5,0.2
1971,6,0.18
1971,7,0.07
1971,8,-0.45
1971,9,-0.28
1971,10,-0.44
1971,11,0.12
1971,12,0.3
1972,1,0.23
1972,2,-0.19
1972,3,0.09
1972,4,0.08
1972,5,0.47
1972,6,0.96
1972,7,0.79
1972,8,0.76
1972,9,1.0
1972,10,0.77
1972,11,0.85
1972,12,0.33
1973,1,0.19
1973,2,-0.04
1973,3,-0.03
1973,4,-0.2
1973,5,0.27
1973,6,0.03
1973,7,-0.23
1973,8,-0.48
1973,9,-0.5
