day,month,year,nino12_sst,nino12_ssta,nino3_sst,nino3_ssta,nino34_sst,nino34_ssta,nino4_sst,nino4_ssta
6,1,1982,24.1,0.2,25.7,0.3,26.6,0.1,28.0,-0.2
13,1,1982,24.1,-0.2,25.7,0.2,26.3,-0.1,27.7,-0.5
20,1,1982,23.8,-0.9,25.6,-0.0,26.6,0.1,28.1,-0.0
27,1,1982,24.9,-0.3,26.0,0.2,26.7,0.3,28.0,-0.1
3,2,1982,25.2,-0.3,26.1,0.1,26.6,0.0,27.7,-0.4
10,2,1982,25.3,-0.6,26.1,-0.1,26.3,-0.3,27.9,-0.2
17,2,1982,25.2,-0.9,26.3,-0.1,26.4,-0.3,27.9,-0.2
24,2,1982,25.2,-1.2,26.3,-0.3,26.5,-0.3,28.2,0.1
3,3,1982,25.2,-1.3,26.7,-0.1,26.8,-0.2,28.0,-0.1
10,3,1982,25.0,-1.6,26.6,-0.5,26.7,-0.4,28.0,-0.1
17,3,1982,25.1,-1.4,26.9,-0.3,27.0,-0.2,28.0,-0.2
24,3,1982,25.0,-1.4,27.1,-0.2,27.5,0.1,28.4,0.2
31,3,1982,24.5,-1.7,27.2,-0.2,27.3,-0.3,28.3,0.0
7,4,1982,24.7,-1.3,27.6,0.1,27.8,0.1,28.5,0.2
14,4,1982,24.3,-1.4,27.4,-0.1,27.6,-0.1,28.4,-0.0
21,4,1982,24.2,-1.3,27.5,-0.0,28.0,0.1,28.8,0.2
28,4,1982,24.1,-1.0,27.4,-0.0,28.0,0.1,28.7,0.1
5,5,1982,24.1,-0.8,27.6,0.2,28.1,0.2,29.1,0.4
12,5,1982,23.9,-0.7,27.5,0.2,28.0,0.1,29.0,0.2
19,5,1982,23.7,-0.6,27.9,0.7,28.6,0.8,29.4,0.6
26,5,1982,23.7,-0.4,27.7,0.7,28.6,0.8,29.3,0.5
2,6,1982,23.4,-0.3,27.5,0.7,28.6,0.8,29.3,0.5
9,6,1982,23.1,-0.4,27.3,0.6,28.4,0.6,29.5,0.6
16,6,1982,23.0,-0.1,27.0,0.5,28.1,0.4,29.4,0.6
23,6,1982,22.5,-0.4,26.9,0.5,28.3,0.7,29.4,0.6
30,6,1982,22.4,-0.1,26.2,0.0,28.2,0.7,29.6,0.8
7,7,1982,22.9,0.7,25.9,-0.1,27.3,-0.1,29.0,0.2
14,7,1982,22.2,0.3,26.1,0.3,27.3,0.1,28.5,-0.2
21,7,1982,21.5,-0.1,26.3,0.6,27.8,0.6,28.5,-0.3
28,7,1982,21.6,0.2,25.8,0.3,27.4,0.4,28.6,-0.1
4,8,1982,21.8,0.6,26.0,0.6,27.6,0.6,28.5,-0.2
11,8,1982,22.0,1.0,26.0,0.8,27.8,1.0,28.8,0.1
18,8,1982,21.8,0.9,26.0,0.9,28.0,1.2,28.9,0.2
25,8,1982,21.6,0.8,26.0,1.0,27.5,0.8,28.7,-0.0
1,9,1982,21.6,0.8,25.9,0.9,27.3,0.6,28.4,-0.2
8,9,1982,22.1,1.4,26.2,1.3,27.7,1.0,28.9,0.3
15,9,1982,21.9,1.2,26.4,1.5,28.0,1.3,29.2,0.5
22,9,1982,21.9,1.2,26.7,1.8,28.3,1.7,29.1,0.4
29,9,1982,22.3,1.5,27.2,2.2,28.6,1.9,28.9,0.2
6,10,1982,22.3,1.5,27.2,2.2,28.7,2.0,29.1,0.4
13,10,1982,22.6,1.7,26.8,1.8,28.5,1.8,29.2,0.5
20,10,1982,23.0,1.9,27.1,2.1,28.5,1.8,29.3,0.6
27,10,1982,23.3,2.1,27.0,1.9,28.3,1.6,29.1,0.4
3,11,1982,23.9,2.6,27.0,2.0,28.3,1.5,28.7,0.0
10,11,1982,24.3,2.7,27.3,2.2,28.6,1.8,28.8,0.2
17,11,1982,24.6,2.8,27.3,2.2,28.4,1.6,28.8,0.2
24,11,1982,25.0,3.0,27.8,2.7,28.8,2.1,28.9,0.3
1,12,1982,25.3,3.1,27.6,2.5,28.5,1.8,28.9,0.4
8,12,1982,25.5,3.0,27.8,2.6,28.6,2.0,28.8,0.3
15,12,1982,25.6,2.8,28.0,2.9,28.8,2.2,28.8,0.3
22,12,1982,26.3,3.2,28.3,3.1,29.1,2.5,28.8,0.4
29,12,1982,26.1,2.7,28.5,3.2,29.1,2.6,28.8,0.4
5,1,1983,26.6,2.7,28.3,2.9,28.7,2.3,28.6,0.4
12,1,1983,26.5,2.3,28.2,2.7,28.8,2.3,28.8,0.6
19,1,1983,27.0,2.4,28.4,2.8,28.6,2.1,28.6,0.4
26,1,1983,27.3,2.2,28.7,2.9,28.8,2.3,28.6,0.5
2,2,1983,27.6,2.1,28.4,2.5,28.7,2.1,28.4,0.3
9,2,1983,27.9,2.1,28.6,2.4,28.7,2.1,28.4,0.3
16,2,1983,27.7,1.5,28.3,1.9,28.4,1.7,28.6,0.5
23,2,1983,27.3,1.0,28.2,1.7,28.4,1.6,28.7,0.7
2,3,1983,28.0,1.4,28.5,1.8,28.7,1.8,28.6,0.5
9,3,1983,28.5,1.9,28.4,1.4,28.6,1.5,28.6,0.5
16,3,1983,28.4,1.9,28.6,1.4,28.5,1.3,28.6,0.5
23,3,1983,28.6,2.2,28.5,1.2,28.4,1.0,28.7,0.5
30,3,1983,28.2,2.0,28.4,0.9,28.2,0.7,28.5,0.2
6,4,1983,28.1,2.1,28.6,1.1,28.4,0.7,28.5,0.1
13,4,1983,28.3,2.5,29.0,1.5,28.6,0.8,28.4,-0.1
20,4,1983,28.2,2.8,28.9,1.4,28.6,0.8,28.6,0.0
27,4,1983,28.1,2.9,28.7,1.3,28.6,0.7,28.6,-0.0
4,5,1983,27.9,3.0,28.8,1.5,28.6,0.7,28.8,0.1
11,5,1983,27.6,3.0,28.7,1.4,28.6,0.8,29.1,0.4
18,5,1983,27.8,3.4,28.6,1.5,28.6,0.7,29.1,0.3
25,5,1983,28.3,4.3,28.5,1.4,28.4,0.5,28.9,0.1
1,6,1983,28.0,4.2,28.6,1.7,28.7,0.9,29.1,0.2
8,6,1983,27.3,3.8,28.3,1.6,28.4,0.7,29.0,0.2
15,6,1983,27.2,4.0,28.2,1.7,28.3,0.6,28.6,-0.2
22,6,1983,27.1,4.2,27.7,1.3,27.7,0.1,28.6,-0.2
29,6,1983,27.0,4.5,27.4,1.1,27.6,0.1,28.6,-0.2
6,7,1983,26.4,4.2,26.8,0.7,27.1,-0.3,28.5,-0.3
13,7,1983,26.0,4.0,26.5,0.6,27.0,-0.3,28.6,-0.2
20,7,1983,25.4,3.7,26.2,0.5,26.6,-0.6,28.5,-0.2
27,7,1983,25.1,3.7,26.1,0.5,26.5,-0.6,28.2,-0.5
3,8,1983,24.6,3.4,25.9,0.6,26.4,-0.6,28.4,-0.3
10,8,1983,24.0,2.9,25.8,0.6,26.3,-0.6,28.3,-0.4
17,8,1983,23.4,2.5,25.6,0.5,26.6,-0.2,28.2,-0.5
24,8,1983,23.5,2.7,25.6,0.6,26.2,-0.5,27.9,-0.8
31,8,1983,22.7,1.9,25.3,0.4,26.2,-0.5,28.0,-0.6
7,9,1983,22.3,1.6,25.4,0.5,26.6,-0.1,28.0,-0.6
14,9,1983,22.5,1.9,25.2,0.3,26.5,-0.2,28.3,-0.3
21,9,1983,21.9,1.2,25.0,0.1,26.1,-0.6,27.9,-0.7
28,9,1983,22.0,1.2,24.7,-0.2,25.8,-0.9,27.6,-1.1
5,10,1983,22.4,1.6,24.4,-0.6,25.6,-1.1,27.4,-1.2
12,10,1983,22.3,1.4,24.7,-0.3,25.8,-0.9,27.7,-1.0
19,10,1983,21.8,0.8,24.8,-0.3,25.8,-0.9,27.4,-1.3
26,10,1983,21.8,0.6,23.9,-1.1,25.4,-1.4,27.9,-0.8
2,11,1983,22.1,0.8,24.1,-1.0,25.5,-1.3,27.9,-0.8
9,11,1983,21.9,0.3,24.1,-0.9,25.7,-1.0,27.7,-0.9
16,11,1983,22.0,0.3,23.8,-1.3,25.1,-1.6,27.5,-1.2
23,11,1983,22.0,0.0,23.7,-1.4,25.1,-1.6,27.5,-1.1
30,11,1983,22.3,0.1,24.4,-0.7,25.7,-1.0,27.6,-1.0
7,12,1983,22.4,-0.1,24.4,-0.8,25.8,-0.8,27.7,-0.8
14,12,1983,22.9,0.1,24.2,-1.0,25.4,-1.2,27.3,-1.2
21,12,1983,23.4,0.3,24.1,-1.1,25.1,-1.5,27.2,-1.2
28,12,1983,23.6,0.2,24.2,-1.1,24.9,-1.6,27.3,-1.0
4,1,1984,24.3,0.5,24.7,-0.7,25.6,-0.9,27.5,-0.7
11,1,1984,24.1,-0.1,24.6,-0.9,25.7,-0.8,27.4,-0.8
18,1,1984,23.9,-0.7,24.5,-1.1,25.4,-1.1,27.3,-0.8
25,1,1984,24.5,-0.6,24.7,-1.0,25.3,-1.2,27.1,-1.0
1,2,1984,24.6,-0.8,25.3,-0.7,26.0,-0.5,27.4,-0.7
8,2,1984,24.9,-0.9,26.0,-0.1,26.3,-0.3,27.5,-0.6
15,2,1984,25.3,-0.9,26.6,0.3,26.6,-0.0,27.0,-1.1
22,2,1984,25.5,-0.8,26.8,0.2,26.7,-0.1,27.0,-1.1
29,2,1984,25.1,-1.3,26.8,0.1,26.6,-0.3,26.9,-1.2
7,3,1984,25.5,-1.0,26.9,-0.1,26.5,-0.5,27.0,-1.1
14,3,1984,26.0,-0.5,26.7,-0.4,26.4,-0.8,27.1,-1.0
21,3,1984,25.6,-0.8,26.8,-0.4,26.8,-0.5,27.4,-0.8
28,3,1984,25.2,-1.0,26.9,-0.5,26.9,-0.5,27.5,-0.8
4,4,1984,25.5,-0.6,27.4,-0.1,27.1,-0.5,27.6,-0.8
11,4,1984,25.6,-0.2,27.7,0.2,27.5,-0.2,27.4,-1.0
18,4,1984,25.1,-0.4,27.1,-0.4,27.3,-0.5,27.4,-1.1
25,4,1984,24.3,-1.0,26.8,-0.6,27.1,-0.7,27.5,-1.0
2,5,1984,24.1,-0.8,26.7,-0.7,27.0,-0.9,27.4,-1.3
9,5,1984,23.5,-1.2,26.4,-0.9,27.3,-0.6,27.9,-0.8
16,5,1984,23.1,-1.3,26.4,-0.8,27.3,-0.6,28.1,-0.7
23,5,1984,23.0,-1.2,26.0,-1.0,27.0,-0.9,28.0,-0.8
30,5,1984,22.8,-1.1,25.8,-1.1,27.0,-0.8,28.0,-0.9
