year,month,day,epo index (m)
1948,1,1,203.69
1948,1,2,328.68
1948,1,3,247.44
1948,1,4,271.08
1948,1,5,281.61
1948,1,6,227.98
1948,1,7,200.48
1948,1,8,170.76
1948,1,9,51.59
1948,1,10,56.63
1948,1,11,30.7
1948,1,12,-42.57
1948,1,13,-75.9
1948,1,14,-73.79
1948,1,15,-160.18
1948,1,16,-196.09
1948,1,17,-189.34
1948,1,18,-139.76
1948,1,19,-94.07
1948,1,20,-26.77
1948,1,21,20.58
1948,1,22,-15.2
1948,1,23,-24.07
1948,1,24,-66.55
1948,1,25,-54.77
1948,1,26,-46.77
1948,1,27,19.42
1948,1,28,44.23
1948,1,29,4.39
1948,1,30,-15.01
1948,1,31,-75.75
1948,2,1,-170.23
1948,2,2,-263.26
1948,2,3,-242.77
1948,2,4,-205.89
1948,2,5,-209.14
1948,2,6,-161.17
1948,2,7,-77.08
1948,2,8,-51.42
1948,2,9,-84.32
1948,2,10,-165.25
1948,2,11,-126.34
1948,2,12,-59.53
1948,2,13,-21.16
1948,2,14,2.97
1948,2,15,152.12
1948,2,16,209.42
1948,2,17,116.93
1948,2,18,123.02
1948,2,19,74.17
1948,2,20,105.7
1948,2,21,195.27
1948,2,22,197.89
1948,2,23,121.4
1948,2,24,161.06
1948,2,25,156.3
1948,2,26,136.44
1948,2,27,84.61
1948,2,28,52.52
1948,2,29,54.07
1948,3,1,39.01
1948,3,2,-1.81
1948,3,3,-21.45
1948,3,4,16.94
1948,3,5,35.66
1948,3,6,1.31
1948,3,7,-95.28
1948,3,8,-142.06
1948,3,9,-117.03
1948,3,10,-91.4
1948,3,11,-50.72
1948,3,12,-18.66
1948,3,13,16.41
1948,3,14,73.39
1948,3,15,65.75
1948,3,16,-1.45
1948,3,17,63.9
1948,3,18,149.62
1948,3,19,147.78
1948,3,20,234.51
1948,3,21,299.73
1948,3,22,218.44
1948,3,23,86.53
1948,3,24,62.18
1948,3,25,5.65
1948,3,26,-115.44
1948,3,27,-200.74
1948,3,28,-192.37
1948,3,29,-115.64
1948,3,30,-18.32
1948,3,31,60.35
1948,4,1,-20.39
1948,4,2,-118.59
1948,4,3,-126.73
1948,4,4,-131.97
1948,4,5,-106.05
1948,4,6,-123.83
1948,4,7,-189.2
1948,4,8,-241.18
1948,4,9,-234.94
1948,4,10,-177.47
1948,4,11,-127.05
1948,4,12,-111.05
1948,4,13,-156.34
1948,4,14,-154.78
1948,4,15,-71.03
1948,4,16,-9.05
1948,4,17,40.08
1948,4,18,50.59
1948,4,19,42.78
1948,4,20,37.4
1948,4,21,73.6
1948,4,22,165.5
1948,4,23,187.66
1948,4,24,131.34
1948,4,25,51.23
1948,4,26,-35.33
1948,4,27,-95.24
1948,4,28,-87.98
1948,4,29,-38.93
1948,4,30,18.06
1948,5,1,24.68
1948,5,2,34.3
1948,5,3,74.9
1948,5,4,93.65
1948,5,5,57.81
1948,5,6,62.99
1948,5,7,58.04
1948,5,8,49.64
1948,5,9,34.65
1948,5,10,36.74
1948,5,11,58.76
1948,5,12,52.26
