year,day,month,tahiti,darwin,soi
1999,1,1,1011.73,1004.35,14.02
1999,2,1,1011.23,1002.85,18.79
1999,3,1,1009.71,1003.95,6.35
1999,4,1,1010.00,1005.05,2.48
1999,5,1,1011.69,1005.65,7.65
1999,6,1,1012.61,1005.60,12.30
1999,7,1,1013.28,1005.65,15.21
1999,8,1,1013.93,1006.10,16.17
1999,9,1,1014.13,1006.40,15.69
1999,10,1,1014.60,1007.90,10.81
1999,11,1,1014.95,1009.15,6.52
1999,12,1,1014.51,1009.70,1.82
1999,13,1,1014.46,1009.25,3.73
1999,14,1,1014.40,1008.40,7.48
1999,15,1,1014.09,1006.70,14.08
1999,16,1,1011.79,1006.20,5.51
1999,17,1,1011.69,1005.50,8.37
1999,18,1,1013.55,1003.05,28.90
1999,19,1,1014.50,1002.80,34.62
1999,20,1,1013.64,1003.50,27.18
1999,21,1,1011.75,1002.30,23.90
1999,22,1,1010.71,1001.65,22.06
1999,23,1,1010.83,1002.40,19.02
1999,24,1,1012.05,1003.50,19.62
1999,25,1,1013.05,1002.75,27.95
1999,26,1,1013.20,1002.50,29.86
1999,27,1,1014.15,1003.85,27.95
1999,28,1,1012.58,1004.95,15.21
1999,29,1,1011.31,1004.15,13.01
1999,30,1,1011.20,1003.75,14.38
1999,31,1,1011.11,1005.35,5.62
1999,1,2,1011.89,1006.75,2.67
1999,2,2,1012.16,1006.60,4.68
1999,3,2,1011.21,1006.60,0.20
1999,4,2,1010.11,1005.55,-0.04
1999,5,2,1012.26,1005.35,11.04
1999,6,2,1012.40,1005.45,11.22
1999,7,2,1008.94,1003.75,2.91
1999,8,2,1008.53,1003.30,3.09
1999,9,2,1010.85,1002.70,16.87
1999,10,2,1013.50,1005.20,17.58
1999,11,2,1013.73,1007.05,9.92
1999,12,2,1013.03,1007.10,6.39
1999,13,2,1013.85,1005.65,17.11
1999,14,2,1015.14,1004.80,27.18
1999,15,2,1015.73,1004.75,30.18
1999,16,2,1015.91,1006.05,24.94
1999,17,2,1014.43,1006.40,16.28
1999,18,2,1013.23,1008.40,1.20
1999,19,2,1012.65,1008.75,-3.16
1999,20,2,1011.09,1008.10,-7.46
1999,21,2,1009.06,1008.05,-16.76
1999,22,2,1008.83,1008.40,-19.53
1999,23,2,1010.49,1007.90,-9.34
1999,24,2,1011.30,1006.75,-0.09
1999,25,2,1012.80,1004.90,15.69
1999,26,2,1014.56,1005.60,20.70
1999,27,2,1015.19,1005.20,25.53
1999,28,2,1014.14,1004.70,29.72
1999,1,3,1013.45,1004.80,25.45
1999,2,3,1013.01,1004.45,24.97
1999,3,3,1012.33,1004.95,18.53
1999,4,3,1013.01,1006.30,14.93
